Customer_ID,Age,Gender,Marital_Status,Number_of_Children,Education_Level,Annual_Income,Number_of_Accounts,Total_Credit_Line
2810830,67,Female,Single,2,High School,79872.0,3,57353.13399793845
8509616,41,Female,Married,3,Bachelor's Degree,89856.0,5,212000.5372640188
1131319,72,Male,Single,2,Bachelor's Degree,102752.0,3,91229.66617343255
4162632,61,Female,Married,4,Master's Degree,118976.0,6,527644.3008427148
4025189,20,Male,Single,0,High School,60320.0,1,8290.608109732157
8913965,22,Male,Married,1,Master's Degree,102752.0,3,78716.0343159267
7159008,60,Male,Married,0,Bachelor's Degree,97760.0,2,63120.98798428131
4309782,78,Male,Single,2,High School,84448.0,3,56498.26177343496
8108846,28,Female,Married,2,High School,63648.0,4,109621.85144970389
2460784,65,Male,Single,3,Ph.D.,141440.0,4,277615.3962227151
4083914,77,Female,Married,3,Bachelor's Degree,104832.0,5,447554.4892281821
1599184,27,Female,Married,1,No Education,42432.0,3,38444.54922627618
4271266,32,Male,Married,1,Master's Degree,106912.0,3,114075.80571752775
8141102,58,Male,Married,1,Bachelor's Degree,96928.0,3,80137.64516987374
9062117,41,Male,Married,3,High School,69056.0,5,347759.9886221044
1249865,46,Male,Married,4,Ph.D.,133536.0,6,1147869.602540778
2515994,33,Female,Single,0,High School,65728.0,1,9861.689123029428
7417656,46,Male,Single,3,No Education,50336.0,4,134639.86831493935
6061458,20,Female,Single,1,High School,60320.0,2,26822.345085651494
2015524,43,Male,Married,0,High School,69888.0,2,32547.970472225836
2035024,78,Male,Married,1,High School,84448.0,3,113516.17609697755
8906521,40,Female,Married,0,High School,68640.0,2,35027.378849341454
2906855,65,Male,Married,2,High School,79040.0,4,128619.75038818474
8091466,59,Male,Single,2,High School,76544.0,3,90927.80775024313
7599967,77,Female,Married,2,High School,84032.0,4,251885.28972266463
2689958,29,Female,Single,0,High School,64064.0,1,12350.381166511608
8753765,23,Female,Married,1,Bachelor's Degree,82368.0,3,56833.91517112242
5200384,25,Male,Married,0,No Education,41600.0,2,19391.77074991744
8417535,46,Male,Married,1,High School,71136.0,3,124076.5090759659
1164498,23,Female,Single,2,High School,61568.0,3,44638.13778957602
9944758,75,Female,Single,4,High School,83200.0,5,572957.1322741247
2904784,21,Male,Married,1,High School,60736.0,3,57565.881478971365
8500650,30,Female,Married,0,High School,64480.0,2,25128.44441514695
3875996,42,Female,Married,1,Bachelor's Degree,90272.0,3,66273.67194526663
5237963,66,Male,Married,2,High School,79456.0,4,271729.4803985945
6779417,53,Female,Married,3,Master's Degree,115648.0,5,322854.78730086784
5008880,36,Male,Married,0,Bachelor's Degree,87776.0,2,54748.33387511241
5946332,29,Male,Single,0,High School,64064.0,1,7714.099308417147
6073539,75,Female,Single,1,Bachelor's Degree,104000.0,2,71033.17081375513
4542802,64,Male,Married,4,High School,78624.0,6,748842.3567500119
5127158,21,Female,Single,0,High School,60736.0,1,8584.932023028086
3258896,79,Female,Single,1,High School,84864.0,2,33737.431227258334
8218243,67,Female,Married,1,No Education,59072.0,3,126618.86464353284
9354495,43,Female,Single,2,Bachelor's Degree,90688.0,3,83974.22750487592
5226580,20,Male,Single,2,High School,60320.0,3,86880.57957552664
1351354,46,Male,Single,4,High School,71136.0,5,285466.26635608403
1278640,44,Female,Married,2,Bachelor's Degree,91104.0,4,176869.73281248985
5998914,23,Female,Single,1,Bachelor's Degree,82368.0,2,39267.7103066282
1883971,38,Female,Married,0,High School,67808.0,2,38043.314321015874
2731792,29,Female,Single,2,High School,64064.0,3,64622.7058024722
8291798,80,Female,Married,3,High School,85280.0,5,454049.3603098402
9269503,62,Female,Single,2,No Education,56992.0,3,72633.70186622038
7161405,67,Female,Single,0,High School,79872.0,1,13866.051180310977
1661955,51,Female,Married,3,Ph.D.,135616.0,5,298564.43801329774
5526747,41,Female,Married,2,High School,69056.0,4,140536.22822053824
7311990,62,Male,Married,1,Bachelor's Degree,98592.0,3,91457.67658336458
5355986,80,Female,Single,4,High School,85280.0,5,502217.30980391754
7607938,61,Female,Single,1,High School,77376.0,2,42075.658815996285
7860815,53,Male,Married,2,High School,74048.0,4,89295.88294650041
4250883,34,Male,Married,0,High School,66144.0,2,35159.89474053478
7954884,44,Male,Married,3,High School,70304.0,5,430183.9837209921
1055918,76,Male,Married,2,High School,83616.0,4,273920.7781067302
3506693,80,Male,Single,0,High School,85280.0,1,14594.556358764574
2172916,77,Female,Single,1,High School,84032.0,2,37410.75616881278
1879270,61,Male,Single,2,High School,77376.0,3,128765.18117039323
1403890,55,Female,Single,1,High School,74880.0,2,38258.15725603979
8748046,58,Male,Married,4,Master's Degree,117728.0,6,505066.7565786501
9868827,29,Female,Single,1,High School,64064.0,2,25223.90394296628
2121187,62,Female,Married,0,Master's Degree,119392.0,2,50028.30041350829
1425767,74,Female,Married,2,No Education,61984.0,4,110763.81943229226
6942158,31,Female,Married,1,Bachelor's Degree,85696.0,3,65869.35683600459
6725956,47,Female,Single,3,High School,71552.0,4,116030.41752037517
9474173,78,Male,Married,2,High School,84448.0,4,332582.1895833176
6371076,24,Female,Single,0,High School,61984.0,1,10387.842781411846
7504794,25,Female,Single,1,High School,62400.0,2,41414.26371322753
8708543,63,Female,Single,2,High School,78208.0,3,63962.9524314126
9048163,55,Female,Married,1,High School,74880.0,3,125821.25887506708
5617215,31,Male,Married,3,Master's Degree,106496.0,5,506952.1871876535
6444274,39,Female,Single,1,High School,68224.0,2,41999.476774937444
7869177,48,Female,Single,1,High School,71968.0,2,25633.92616707946
2311581,34,Male,Single,0,Ph.D.,128544.0,1,23628.940594741776
3000422,26,Male,Single,2,No Education,42016.0,3,41273.17216306393
4221725,74,Female,Single,4,Bachelor's Degree,103584.0,5,544862.644098007
5668936,45,Male,Married,1,Bachelor's Degree,91520.0,3,165585.35579716778
4678612,74,Male,Single,2,High School,82784.0,3,74025.22385296295
4365968,40,Female,Married,1,Master's Degree,110240.0,3,161896.675029814
8013191,30,Male,Single,0,High School,64480.0,1,10129.083935586525
7140125,47,Female,Single,2,Bachelor's Degree,92352.0,3,118310.54526403744
1547522,25,Male,Married,3,High School,62400.0,5,241836.10479206045
7639544,25,Female,Single,2,High School,62400.0,3,52074.96814553902
1582713,31,Male,Married,1,High School,64896.0,3,51502.5410456298
5257406,34,Male,Married,0,Bachelor's Degree,86944.0,2,38619.596261291306
8251770,50,Male,Married,4,High School,72800.0,6,907436.8842929034
8308053,46,Female,Married,1,Master's Degree,112736.0,3,140899.22083730667
6695665,49,Female,Married,2,Ph.D.,134784.0,4,310327.80462979525
4576686,77,Male,Married,2,Bachelor's Degree,104832.0,4,208930.5431797661
5565871,80,Male,Married,1,Bachelor's Degree,106080.0,3,131089.23642748862
8516176,67,Male,Single,2,No Education,59072.0,3,68708.47780522183
6348619,40,Male,Married,0,Bachelor's Degree,89440.0,2,56621.00979039018
1437999,76,Male,Married,1,No Education,62816.0,3,68896.77393995452
8248887,37,Male,Married,1,No Education,46592.0,3,46519.01068834521
1080542,53,Female,Married,2,Bachelor's Degree,94848.0,4,247408.28585189878
5845841,71,Male,Married,1,No Education,60736.0,3,92588.44830848565
8089248,38,Female,Married,0,High School,67808.0,2,31064.361650965635
5193761,73,Female,Single,3,High School,82368.0,4,126966.81507686607
2277710,23,Male,Single,1,High School,61568.0,2,29286.176111362467
4901770,34,Female,Married,1,Bachelor's Degree,86944.0,3,122872.76832407273
9040673,31,Male,Married,0,Bachelor's Degree,85696.0,2,45914.4741715636
5817504,56,Male,Single,2,High School,75296.0,3,86417.31257165539
1092853,20,Male,Single,1,Bachelor's Degree,81120.0,2,36907.9523471745
3771345,60,Female,Married,3,Ph.D.,139360.0,5,424460.3789741406
7026955,32,Female,Married,0,High School,65312.0,2,29469.32809101323
7931132,20,Female,Single,1,High School,60320.0,2,27306.93320592874
8655841,36,Male,Married,3,High School,66976.0,5,309945.29891259375
8634770,60,Male,Single,0,Master's Degree,118560.0,1,14385.314356863812
6417682,73,Female,Single,1,Bachelor's Degree,103168.0,2,58803.4004811205
1992143,35,Female,Married,0,High School,66560.0,2,33536.78468872039
8848244,47,Female,Married,3,High School,71552.0,5,293114.00801278837
6888599,46,Female,Married,1,High School,71136.0,3,122679.781671337
4237933,41,Male,Single,2,High School,69056.0,3,45176.16615296462
6842248,60,Female,Married,1,Bachelor's Degree,97760.0,3,151439.83952702678
4110592,55,Female,Married,2,High School,74880.0,4,263079.34348418814
9971230,75,Male,Single,2,Bachelor's Degree,104000.0,3,102926.29806721861
6744564,26,Male,Married,0,High School,62816.0,2,36633.90891241023
3791975,72,Female,Single,2,High School,81952.0,3,99776.33761325874
1756800,47,Female,Married,1,High School,71552.0,3,70854.79136763678
1936274,43,Male,Single,4,High School,69888.0,5,275243.06332326174
2429880,75,Female,Single,0,Bachelor's Degree,104000.0,1,18609.620383788064
4340249,43,Male,Single,1,Bachelor's Degree,90688.0,2,36063.47081746125
1752082,36,Female,Single,0,Bachelor's Degree,87776.0,1,14733.315154826232
5036134,73,Female,Married,4,Master's Degree,123968.0,6,1418460.3196790102
9931671,72,Female,Single,1,No Education,61152.0,2,45887.72349015479
4538127,37,Male,Single,0,Bachelor's Degree,88192.0,1,16820.56026547972
8823356,49,Female,Married,3,High School,72384.0,5,339875.83379720955
5810351,73,Female,Single,0,Bachelor's Degree,103168.0,1,20109.9060492107
4104294,24,Male,Married,0,High School,61984.0,2,28429.801832996127
6673754,23,Male,Single,2,High School,61568.0,3,115815.65733693627
9642151,28,Male,Single,1,High School,63648.0,2,19962.703622780366
9478221,60,Female,Married,0,Ph.D.,139360.0,2,80744.41533324053
7773182,69,Male,Single,1,Ph.D.,143104.0,2,73018.27104717601
1073771,42,Male,Married,1,High School,69472.0,3,102448.51764917144
6118360,48,Male,Married,1,High School,71968.0,3,133881.6847078274
6330483,80,Male,Married,1,Bachelor's Degree,106080.0,3,132889.85417316755
5853887,55,Male,Married,2,Master's Degree,116480.0,4,216631.65745596812
7342887,67,Male,Married,1,Master's Degree,121472.0,3,114901.53340019175
8924756,36,Male,Married,3,No Education,46176.0,5,376456.9411768775
6083724,27,Female,Single,3,High School,63232.0,4,202952.56516877573
4873608,61,Male,Married,2,High School,77376.0,4,142066.97293293642
2011687,76,Male,Single,2,High School,83616.0,3,124868.95679838266
7212166,72,Female,Married,1,Bachelor's Degree,102752.0,3,106520.6600119361
4331289,55,Female,Married,2,Ph.D.,137280.0,4,254893.06276163107
2831436,72,Female,Single,2,Bachelor's Degree,102752.0,3,116773.41489374774
7129379,66,Female,Married,2,High School,79456.0,4,118269.67657804467
3795133,33,Female,Married,1,High School,65728.0,3,99099.14138995757
6337370,73,Female,Single,0,High School,82368.0,1,14293.685466764766
3041688,76,Female,Married,3,High School,83616.0,5,726166.2126192483
5151536,78,Male,Married,4,High School,84448.0,6,409103.2981930052
6402969,74,Female,Married,3,Bachelor's Degree,103584.0,5,256114.8369560513
4508116,73,Female,Single,4,High School,82368.0,5,460721.1545982867
2517539,50,Male,Single,2,High School,72800.0,3,90422.24044864591
9987904,79,Male,Married,0,High School,84864.0,2,23434.54218124482
3119116,25,Female,Single,0,Bachelor's Degree,83200.0,1,11755.175527449817
7120412,79,Male,Single,2,Bachelor's Degree,105664.0,3,137218.77137378158
7466111,28,Male,Single,0,High School,63648.0,1,12197.906539947035
5149015,25,Female,Single,2,Bachelor's Degree,83200.0,3,67651.32843736006
9022263,44,Male,Married,2,Bachelor's Degree,91104.0,4,168470.09550390148
9358519,70,Female,Married,3,High School,81120.0,5,311908.57473666576
9725687,41,Female,Married,2,No Education,48256.0,4,129599.94284856063
9421807,61,Female,Married,1,Master's Degree,118976.0,3,103548.80600861541
9549348,45,Male,Married,1,High School,70720.0,3,62418.08704529682
7048898,53,Female,Married,1,High School,74048.0,3,85423.01017232642
4348803,45,Female,Married,4,Bachelor's Degree,91520.0,6,807349.0689061133
6556964,27,Female,Married,2,Ph.D.,125632.0,4,347983.9999405314
9423772,58,Female,Single,1,High School,76128.0,2,40688.29045102006
3056194,35,Female,Married,2,High School,66560.0,4,149777.23162843063
3421972,69,Female,Single,1,High School,80704.0,2,44554.60216902462
7999686,56,Male,Single,2,High School,75296.0,3,75136.28423986874
1192707,55,Male,Married,2,Bachelor's Degree,95680.0,4,225634.17136031203
4833083,35,Male,Married,3,High School,66560.0,5,194191.2059991706
9807140,47,Male,Single,2,Master's Degree,113152.0,3,216125.68825889452
8947837,40,Male,Married,0,High School,68640.0,2,42096.2520459736
9581325,58,Male,Married,1,High School,76128.0,3,87998.04396770567
6080094,29,Male,Married,2,High School,64064.0,4,155960.61151039877
2232305,56,Male,Married,2,High School,75296.0,4,88567.44560655013
2302697,64,Male,Single,3,Bachelor's Degree,99424.0,4,189370.4978630215
5848468,68,Male,Single,3,No Education,59488.0,4,159268.14918276144
8379835,42,Male,Married,1,Bachelor's Degree,90272.0,3,96240.19854238721
7599073,52,Male,Married,0,High School,73632.0,2,45255.73650055555
1928391,49,Male,Single,1,High School,72384.0,2,52614.92431160276
1375683,67,Female,Married,2,High School,79872.0,4,344020.26127999113
6767580,79,Female,Single,3,No Education,64064.0,4,119394.63805367591
8678557,49,Female,Married,2,High School,72384.0,4,117960.68084001771
6685851,36,Male,Married,0,Master's Degree,108576.0,2,59403.16021127318
6248912,56,Female,Married,1,High School,75296.0,3,57615.19591696394
2145681,49,Male,Married,3,High School,72384.0,5,537446.4743238275
7612700,77,Male,Single,0,High School,84032.0,1,12393.30646029027
7131726,74,Female,Married,1,Bachelor's Degree,103584.0,3,68432.01621285646
5017098,55,Male,Married,1,Master's Degree,116480.0,3,147367.33789703762
3242142,59,Female,Married,4,High School,76544.0,6,924894.7606000658
9175993,69,Female,Single,2,High School,80704.0,3,57783.4533692477
8155239,50,Female,Single,0,High School,72800.0,1,9182.70805758814
6616275,72,Male,Married,3,High School,81952.0,5,263470.47162613575
3175830,29,Male,Single,0,Bachelor's Degree,84864.0,1,16699.142631191942
7469165,65,Male,Single,1,Bachelor's Degree,99840.0,2,43585.43531581905
6056761,34,Female,Married,3,High School,66144.0,5,444269.20588015707
1835423,34,Male,Married,2,High School,66144.0,4,148369.1508746067
1786616,28,Female,Single,2,Bachelor's Degree,84448.0,3,97106.52681915433
1303386,66,Female,Married,1,High School,79456.0,3,85537.97130704107
2539094,45,Female,Married,2,High School,70720.0,4,101883.9489036544
6838694,42,Male,Married,3,Ph.D.,131872.0,5,991535.8040756844
8904849,44,Female,Married,2,Bachelor's Degree,91104.0,4,182903.93226103942
2009747,67,Female,Married,1,High School,79872.0,3,46421.57644886889
8023490,78,Male,Married,1,Bachelor's Degree,105248.0,3,77416.98887617512
8031565,63,Female,Married,2,High School,78208.0,4,168627.40183920666
6718985,79,Female,Single,3,Ph.D.,147264.0,4,355126.74125496356
5846197,25,Female,Single,1,High School,62400.0,2,26964.397467028495
8727532,35,Female,Married,0,High School,66560.0,2,26655.453446169842
9370568,61,Male,Married,1,Master's Degree,118976.0,3,89770.12435053075
5037455,72,Female,Single,3,Ph.D.,144352.0,4,227498.18617420952
1655768,36,Female,Married,0,High School,66976.0,2,47961.072029924486
3792697,78,Male,Single,3,Bachelor's Degree,105248.0,4,243772.11355149993
6626977,30,Male,Single,0,Bachelor's Degree,85280.0,1,11890.650732784357
3974214,55,Male,Married,1,High School,74880.0,3,45074.06963466305
4517189,57,Female,Married,2,High School,75712.0,4,127316.87064974473
1288935,70,Female,Married,1,No Education,60320.0,3,36018.586519053235
4881660,80,Female,Married,1,Bachelor's Degree,106080.0,3,85710.58426915816
3912189,79,Female,Married,3,Bachelor's Degree,105664.0,5,270534.8210396494
6209278,22,Female,Single,0,High School,61152.0,1,10445.429768561378
1460340,74,Female,Married,3,High School,82784.0,5,285274.34310684795
2554969,44,Male,Married,2,High School,70304.0,4,248171.60436636436
7287844,62,Female,Married,3,High School,77792.0,5,270365.76389485755
1011548,35,Male,Married,2,High School,66560.0,4,205352.7817428422
4100357,30,Female,Single,2,High School,64480.0,3,134932.6186434063
8322155,43,Male,Married,2,High School,69888.0,4,206590.3303163771
9738433,71,Male,Married,2,High School,81536.0,4,171249.37294054544
1903238,50,Male,Married,2,Bachelor's Degree,93600.0,4,207823.95315735033
4682021,52,Female,Married,3,Bachelor's Degree,94432.0,5,256639.56215565745
7639276,37,Male,Married,2,No Education,46592.0,4,63398.389624981224
3258866,20,Female,Married,2,High School,60320.0,4,134305.88103392321
2562305,36,Female,Married,0,Master's Degree,108576.0,2,35420.225597512865
9851623,34,Male,Single,1,Bachelor's Degree,86944.0,2,28762.459839884694
1858570,70,Female,Married,3,Master's Degree,122720.0,5,649112.4201996655
5944146,28,Female,Single,2,Master's Degree,105248.0,3,113911.27007953427
5390747,44,Male,Married,2,No Education,49504.0,4,80177.25271033902
1483794,21,Female,Single,0,Bachelor's Degree,81536.0,1,9797.36225125858
5901115,58,Male,Single,3,No Education,55328.0,4,133316.39422784673
1651514,33,Male,Married,0,No Education,44928.0,2,17506.682398852667
5414916,62,Male,Single,2,High School,77792.0,3,119537.84392334521
5444859,61,Female,Married,3,Bachelor's Degree,98176.0,5,796168.3049191864
8603699,72,Male,Married,1,High School,81952.0,3,116299.32946663418
6898998,31,Female,Married,1,Bachelor's Degree,85696.0,3,51989.97726849711
1788716,47,Male,Married,4,High School,71552.0,6,405565.4866245161
2606126,38,Female,Single,0,High School,67808.0,1,10343.980708781062
4044950,35,Male,Married,0,High School,66560.0,2,21627.215137028143
2827076,29,Female,Single,1,High School,64064.0,2,25759.232946480777
7233569,64,Male,Single,1,High School,78624.0,2,46035.85718316467
8163493,78,Male,Single,1,High School,84448.0,2,37514.27983834751
3867316,31,Female,Married,1,High School,64896.0,3,83710.62048298612
8562508,20,Male,Single,1,No Education,39520.0,2,14428.00855889483
4979444,51,Female,Married,1,High School,73216.0,3,60603.67073447292
3458478,55,Female,Married,2,No Education,54080.0,4,153063.09639044144
7520713,45,Female,Single,4,High School,70720.0,5,267248.9475174358
8713644,55,Female,Single,4,Bachelor's Degree,95680.0,5,208366.5412519367
2168044,36,Male,Married,1,High School,66976.0,3,62784.54687628864
5359100,44,Female,Single,2,High School,70304.0,3,93499.89291140679
8071261,47,Female,Single,0,Master's Degree,113152.0,1,18300.09049258778
9618769,76,Male,Married,3,Ph.D.,146016.0,5,559647.8754105417
6934559,35,Male,Married,0,No Education,45760.0,2,24774.059476043567
5617103,37,Male,Married,0,High School,67392.0,2,33087.16295556845
3862735,32,Female,Married,1,High School,65312.0,3,73627.62229211943
2118045,56,Female,Married,0,No Education,54496.0,2,24101.606576132326
1850178,67,Female,Married,1,High School,79872.0,3,77592.73197471436
9932600,55,Male,Married,2,No Education,54080.0,4,79959.33776399854
6452646,60,Male,Married,1,High School,76960.0,3,77144.92537141178
6026332,38,Female,Married,0,High School,67808.0,2,38221.45550928294
2694004,46,Male,Married,4,Ph.D.,133536.0,6,1403125.6228902568
4522101,57,Female,Married,3,High School,75712.0,5,254539.52741810653
5762382,28,Male,Single,0,High School,63648.0,1,10494.437775341008
6240704,49,Male,Single,1,Bachelor's Degree,93184.0,2,57014.03211236125
5105702,62,Male,Married,3,High School,77792.0,5,301202.98954361817
5538565,31,Male,Married,1,High School,64896.0,3,54658.3862003258
1323027,78,Female,Single,1,High School,84448.0,2,34410.200268514476
6993961,23,Female,Married,3,High School,61568.0,5,339885.67690056446
8506279,71,Male,Single,3,High School,81536.0,4,121818.84992394401
4059243,53,Male,Married,1,High School,74048.0,3,64835.77706030167
5289228,21,Male,Single,3,High School,60736.0,4,155071.7167261191
5637932,58,Female,Married,2,High School,76128.0,4,159813.08593649438
4945545,68,Female,Single,1,No Education,59488.0,2,20269.720373208012
2073367,29,Female,Single,0,Ph.D.,126464.0,1,16336.787657373852
7187514,77,Male,Married,2,Bachelor's Degree,104832.0,4,203334.3149148826
8739043,50,Female,Married,0,High School,72800.0,2,30393.105787460732
1917698,60,Female,Married,1,Bachelor's Degree,97760.0,3,90103.82714843583
8940216,58,Male,Married,4,High School,76128.0,6,391852.9439118213
2094301,50,Male,Married,2,Bachelor's Degree,93600.0,4,209188.2924395153
6868253,32,Male,Single,2,Bachelor's Degree,86112.0,3,162234.269490467
3139655,31,Male,Married,0,Bachelor's Degree,85696.0,2,24711.087263548387
4003165,39,Male,Single,2,High School,68224.0,3,77148.3715875772
1328081,75,Female,Single,1,High School,83200.0,2,43373.05583506204
2342202,24,Female,Married,3,Bachelor's Degree,82784.0,5,339764.5400729829
6331800,45,Female,Single,4,No Education,49920.0,5,80787.96681083017
4577072,29,Male,Single,1,Bachelor's Degree,84864.0,2,52312.350230870456
6390853,70,Male,Single,1,Master's Degree,122720.0,2,55463.38175501319
7335626,37,Male,Married,2,Bachelor's Degree,88192.0,4,240956.0137691521
2000456,47,Female,Married,3,Master's Degree,113152.0,5,465032.2524906761
1865626,60,Female,Single,3,High School,76960.0,4,231885.55532445075
3722885,24,Male,Single,0,High School,61984.0,1,12335.038005021557
2297958,62,Female,Married,0,High School,77792.0,2,32888.12949454169
7635215,80,Male,Single,2,Bachelor's Degree,106080.0,3,98328.20765860626
8060762,40,Male,Married,2,High School,68640.0,4,244373.96544985738
2036835,51,Female,Married,2,High School,73216.0,4,191381.24543309188
6468228,70,Female,Married,3,Bachelor's Degree,101920.0,5,563908.6684864708
6899861,59,Female,Single,1,No Education,55744.0,2,29046.863057783004
5604428,54,Female,Single,3,High School,74464.0,4,172143.86966863446
5252837,23,Male,Single,0,Bachelor's Degree,82368.0,1,13455.864411485714
7590547,67,Male,Married,1,Bachelor's Degree,100672.0,3,72476.8212809348
3084539,57,Female,Married,3,Ph.D.,138112.0,5,732316.3382411466
5245459,40,Female,Married,1,High School,68640.0,3,67047.5354054015
8379978,23,Male,Single,2,High School,61568.0,3,82556.11808015453
8699579,20,Male,Single,0,Bachelor's Degree,81120.0,1,10330.912289492751
1748401,36,Male,Married,0,High School,66976.0,2,36237.31731512923
2795300,62,Male,Single,2,High School,77792.0,3,95548.71083467222
1510776,32,Male,Married,0,Bachelor's Degree,86112.0,2,32296.75142059369
1797249,77,Male,Married,2,Ph.D.,146432.0,4,495254.7121690016
9754839,64,Female,Single,2,Master's Degree,120224.0,3,115505.47008395022
8796273,27,Female,Single,1,High School,63232.0,2,25273.661547311367
6698803,43,Female,Married,1,High School,69888.0,3,96293.65492112699
2776564,35,Male,Married,0,Bachelor's Degree,87360.0,2,41917.17762123897
6574862,22,Female,Single,1,High School,61152.0,2,38802.873016244295
6588111,35,Male,Married,1,No Education,45760.0,3,34468.5662328428
3465293,79,Female,Single,4,High School,84864.0,5,623790.1299625367
1818335,48,Female,Married,2,Master's Degree,113568.0,4,203002.3854410469
3193318,41,Female,Married,2,Ph.D.,131456.0,4,229927.71731188757
9582637,22,Male,Single,1,Master's Degree,102752.0,2,41498.95122321238
9100900,51,Male,Single,3,Master's Degree,114816.0,4,394144.4433737524
